القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
الموارد البشرية وتكنولوجيا التوظيف (HRTech),SHRM,9.5/10,Society for Human Resource Management,جمعية إدارة الموارد البشرية
الموارد البشرية وتكنولوجيا التوظيف (HRTech),ESAT,9/10,Employee Satisfaction,رضا الموظفين
صناعة المحتوى والسوشيال ميديا (CreatorTech),KOL,10/10,Key Opinion Leader,قائد الرأي (المؤثرين الكبار)
صناعة المحتوى والسوشيال ميديا (CreatorTech),IGC,9.5/10,Influencer-Generated Content,المحتوى المنشأ بواسطة المؤثرين
صناعة المحتوى والسوشيال ميديا (CreatorTech),SMM,10/10,Social Media Marketing,التسويق عبر وسائل التواصل الاجتماعي
صناعة المحتوى والسوشيال ميديا (CreatorTech),SMO,9/10,Social Media Optimization,تحسين وسائل التواصل الاجتماعي
صناعة المحتوى والسوشيال ميديا (CreatorTech),WOM,9.5/10,Word of Mouth,التسويق الشفهي (كلام الناس)
صناعة المحتوى والسوشيال ميديا (CreatorTech),VLOG,10/10,Video Blog,مدونة فيديو
صناعة المحتوى والسوشيال ميديا (CreatorTech),AMA,10/10,Ask Me Anything,اسألني أي شيء (جلسات تفاعلية)
صناعة المحتوى والسوشيال ميديا (CreatorTech),FYP,10/10,For You Page,صفحة "من أجلك" (تريند تيك توك)
صناعة المحتوى والسوشيال ميديا (CreatorTech),BTS,9.5/10,Behind The Scenes,خلف الكواليس
صناعة المحتوى والسوشيال ميديا (CreatorTech),FOMO,10/10,Fear Of Missing Out,الخوف من تفويت الفرصة
صناعة المحتوى والسوشيال ميديا (CreatorTech),SERP,9/10,Search Engine Results Page,صفحة نتائج محرك البحث
صناعة المحتوى والسوشيال ميديا (CreatorTech),SOV,8.5/10,Share of Voice,حصة الصوت (قياس الانتشار)
صناعة المحتوى والسوشيال ميديا (CreatorTech),DAU,9.5/10,Daily Active Users,المستخدمون النشطون يومياً
صناعة المحتوى والسوشيال ميديا (CreatorTech),MAU,9.5/10,Monthly Active Users,المستخدمون النشطون شهرياً
صناعة المحتوى والسوشيال ميديا (CreatorTech),ARPU,9/10,Average Revenue Per User,متوسط الإيرادات لكل مستخدم
صناعة المحتوى والسوشيال ميديا (CreatorTech),LPO,8.5/10,Landing Page Optimization,تحسين الصفحة المقصودة
صناعة المحتوى والسوشيال ميديا (CreatorTech),SMP,9/10,Social Media Platform,منصة تواصل اجتماعي
صناعة المحتوى والسوشيال ميديا (CreatorTech),CMGR,9/10,Community Manager,مدير المجتمع (الرقمي)
صناعة المحتوى والسوشيال ميديا (CreatorTech),KOC,9/10,Key Opinion Consumer,المستهلك المؤثر
صناعة المحتوى والسوشيال ميديا (CreatorTech),VIRL,9.5/10,Viral,فيروسي (سريع الانتشار)
البترول والغاز والطاقة الثقيلة (EnergyTech),LNG,10/10,Liquefied Natural Gas,الغاز الطبيعي المسال
البترول والغاز والطاقة الثقيلة (EnergyTech),LPG,9.5/10,Liquefied Petroleum Gas,غاز البترول المسال
البترول والغاز والطاقة الثقيلة (EnergyTech),NGL,9/10,Natural Gas Liquids,سوائل الغاز الطبيعي
البترول والغاز والطاقة الثقيلة (EnergyTech),BBL,9.5/10,Barrel,برميل (وحدة قياس النفط)
البترول والغاز والطاقة الثقيلة (EnergyTech),FPSO,9/10,Floating Production Storage and Offloading,تخزين وتفريغ الإنتاج العائم
البترول والغاز والطاقة الثقيلة (EnergyTech),FEED,9.5/10,Front-End Engineering Design,التصميم الهندسي الأمامي (للمشاريع)
البترول والغاز والطاقة الثقيلة (EnergyTech),SURF,8.5/10,Subsea Umbilicals Risers Flowlines,المعدات وخطوط الأنابيب تحت سطح البحر
البترول والغاز والطاقة الثقيلة (EnergyTech),HSE,10/10,Health Safety Environment,الصحة والسلامة والبيئة
البترول والغاز والطاقة الثقيلة (EnergyTech),LTI,8.5/10,Lost Time Injury,إصابات الوقت الضائع
البترول والغاز والطاقة الثقيلة (EnergyTech),WTI,10/10,West Texas Intermediate,خام غرب تكساس الوسيط (مؤشر أسعار)
البترول والغاز والطاقة الثقيلة (EnergyTech),RIG,10/10,Drilling Rig,منصة الحفر (حفارة)
البترول والغاز والطاقة الثقيلة (EnergyTech),ROV,9.5/10,Remotely Operated Vehicle,مركبة تعمل عن بعد (تحت الماء)
البترول والغاز والطاقة الثقيلة (EnergyTech),AUV,9/10,Autonomous Underwater Vehicle,مركبة غواصة ذاتية القيادة
البترول والغاز والطاقة الثقيلة (EnergyTech),NDE,8.5/10,Non-Destructive Examination,الفحص غير الإتلافي
البترول والغاز والطاقة الثقيلة (EnergyTech),WHP,8.5/10,Wellhead Platform,منصة رأس البئر
البترول والغاز والطاقة الثقيلة (EnergyTech),MWD,8.5/10,Measurement While Drilling,القياس أثناء الحفر
البترول والغاز والطاقة الثقيلة (EnergyTech),LWD,8.5/10,Logging While Drilling,التسجيل أثناء الحفر
البترول والغاز والطاقة الثقيلة (EnergyTech),OPEX,10/10,Operational Expenditure,النفقات التشغيلية
البترول والغاز والطاقة الثقيلة (EnergyTech),CPX,10/10,Capital Expenditure,النفقات الرأسمالية (CAPEX)
البترول والغاز والطاقة الثقيلة (EnergyTech),EOR,9.5/10,Enhanced Oil Recovery,الاستخلاص المعزز للنفط
تكنولوجيا الصوت والموسيقى (AudioTech),DAW,10/10,Digital Audio Workstation,محطة عمل الصوت الرقميات (برامج التوزيع)
تكنولوجيا الصوت والموسيقى (AudioTech),VST,10/10,Virtual Studio Technology,تكنولوجيا الاستوديو الافتراضي (فلاتر الصوت)
تكنولوجيا الصوت والموسيقى (AudioTech),MIDI,10/10,Musical Instrument Digital Interface,الواجهة الرقمية للآلات الموسيقية
تكنولوجيا الصوت والموسيقى (AudioTech),WAV,10/10,Waveform Audio File Format,تنسيق ملفات الصوت غير المضغوطة
تكنولوجيا الصوت والموسيقى (AudioTech),FLAC,9.5/10,Free Lossless Audio Codec,تشفير الصوت المجاني بدون فقدان جودة
تكنولوجيا الصوت والموسيقى (AudioTech),BPM,10/10,Beats Per Minute,نبضة في الدقيقة (سرعة الإيقاع)
تكنولوجيا الصوت والموسيقى (AudioTech),PRO,9/10,Performance Rights Organization,منظمة حقوق الأداء
تكنولوجيا الصوت والموسيقى (AudioTech),ISRC,8.5/10,International Standard Recording Code,الرمز المعياري الدولي للتسجيلات
تكنولوجيا الصوت والموسيقى (AudioTech),AOD,9/10,Audio on Demand,الصوت حسب الطلب
تكنولوجيا الصوت والموسيقى (AudioTech),RSS,10/10,Really Simple Syndication,خلاصة التلقيم المبسط (أساس البودكاست)
تكنولوجيا الصوت والموسيقى (AudioTech),AMP,10/10,Amplifier,مكبر الصوت
تكنولوجيا الصوت والموسيقى (AudioTech),MIC,10/10,Microphone,ميكروفون
تكنولوجيا الصوت والموسيقى (AudioTech),XLR,9.5/10,XLR Connector,وصلة الصوت الاحترافية
تكنولوجيا الصوت والموسيقى (AudioTech),AUX,10/10,Auxiliary,المدخل الإضافي (كابل الأوكس)
تكنولوجيا الصوت والموسيقى (AudioTech),LFE,8.5/10,Low-Frequency Effects,تأثيرات التردد المنخفض (البيز)
تكنولوجيا الصوت والموسيقى (AudioTech),DSD,8.5/10,Direct Stream Digital,البث الرقمي المباشر (صوت عالي الدقة)
تكنولوجيا الصوت والموسيقى (AudioTech),MQA,8.5/10,Master Quality Authenticated,المصادقة على جودة الماستر
تكنولوجيا الصوت والموسيقى (AudioTech),SNR,9/10,Signal-to-Noise Ratio,نسبة الإشارة إلى الضوضاء
تكنولوجيا الصوت والموسيقى (AudioTech),THD,8.5/10,Total Harmonic Distortion,التشوه التوافقي الكلي
تكنولوجيا الصوت والموسيقى (AudioTech),SPL,9/10,Sound Pressure Level,مستوى ضغط الصوت
إدارة الفعاليات والمؤتمرات (EventTech),BEO,9.5/10,Banquet Event Order,أمر تنظيم الحفلات والفعاليات
إدارة الفعاليات والمؤتمرات (EventTech),EMC,9.5/10,Event Management Company,شركة إدارة الفعاليات
إدارة الفعاليات والمؤتمرات (EventTech),AVS,9/10,Audio Visual Services,الخدمات السمعية والبصرية
إدارة الفعاليات والمؤتمرات (EventTech),RSVP,10/10,Répondez S'il Vous Plaît,الرجاء الرد (لتأكيد الحضور)
إدارة الفعاليات والمؤتمرات (EventTech),VVIP,10/10,Very Very Important Person,شخصية هامة جداً جداً
إدارة الفعاليات والمؤتمرات (EventTech),VMS,9/10,Venue Management System,نظام إدارة القاعات وأماكن الفعاليات
إدارة الفعاليات والمؤتمرات (EventTech),ERS,8.5/10,Event Registration System,نظام تسجيل الفعاليات
إدارة الفعاليات والمؤتمرات (EventTech),ROO,9/10,Return on Objective,العائد على الهدف (في المعارض)
إدارة الفعاليات والمؤتمرات (EventTech),CXM,10/10,Customer Experience Management,إدارة تجربة العملاء (والزوار)
إدارة الفعاليات والمؤتمرات (EventTech),LOI,9.5/10,Letter of Intent,خطاب النوايا (للرعايات)
إدارة الفعاليات والمؤتمرات (EventTech),MOU,10/10,Memorandum of Understanding,مذكرة تفاهم
إدارة الفعاليات والمؤتمرات (EventTech),VEV,8.5/10,Virtual Event Venue,مكان الفعاليات الافتراضية
إدارة الفعاليات والمؤتمرات (EventTech),HYB,9.5/10,Hybrid Events,الفعاليات الهجينة (واقعي + افتراضي)
إدارة الفعاليات والمؤتمرات (EventTech),CFE,8.5/10,Call for Exhibitors,دعوة للعارضين
إدارة الفعاليات والمؤتمرات (EventTech),CFS,8.5/10,Call for Speakers,دعوة للمتحدثين
إدارة الفعاليات والمؤتمرات (EventTech),TIX,10/10,Tickets,التذاكر (كلمة بريميوم جداً)
إدارة الفعاليات والمؤتمرات (EventTech),REG,10/10,Registration,التسجيل
إدارة الفعاليات والمؤتمرات (EventTech),EXH,9/10,Exhibition,المعرض
إدارة الفعاليات والمؤتمرات (EventTech),SWAG,10/10,Stuff We All Get,هدايا المؤتمرات الترويجية (كلمة شائعة جداً)
إدارة الفعاليات والمؤتمرات (EventTech),KEY,10/10,Keynote Speaker,المتحدث الرئيسي
